Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
99.942,22.92,95.72,5.72,19.68,117.36,-3.53,20190930-1247-FRANKFURT_2-01-61,Strecksprung
63.736,-3.56,127.6,63.84,0.16,121.32,50.26,20190930-1247-FRANKFURT_2-01-61,Strecksprung
2.501,-18.48,141.12,34.68,-14.51,116.65,44.16,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.117,-3.32,50.64,59.48,-0.46,49.74,52.61,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.112,-3.96,39.56,28.6,-3.42,40.68,30.31,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.899,-8.84,8.44,1.32,-7.63,9.46,3.3,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.19,-1.08,-4.72,-8.48,-1.92,-6.06,-6.98,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.994,2.96,-16.2,-23.96,-0.06,-16.68,-23.23,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.418,-8.56,-37.88,-38.64,-7.8,-33.25,-32.93,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.784,1.16,-29.84,-49.0,0.14,-28.72,-45.63,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.05,2.92,-32.04,-31.24,2.17,-33.1,-31.09,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.876,-0.8,-36.4,-8.04,-0.23,-35.39,-8.44,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.926,2.96,-34.96,-1.48,3.21,-35.57,-2.35,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.826,1.76,-54.44,5.92,2.13,-53.22,6.18,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.802,3.96,-55.28,10.04,3.64,-54.58,10.16,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.357,7.12,-63.52,-20.8,5.01,-60.14,-11.77,20190930-1247-FRANKFURT_2-01-61,Strecksprung
1.347,-6.04,-50.8,9.56,-4.07,-55.53,7.01,20190930-1247-FRANKFURT_2-01-61,Strecksprung
0.975,-0.84,-76.24,2.52,-0.3,-77.97,3.58,20190930-1247-FRANKFURT_2-01-61,Strecksprung
7.8,10.36,-58.6,-8.88,6.73,-50.87,-7.22,20190930-1247-FRANKFURT_2-01-61,Strecksprung
18.938,7.0,212.48,25.52,4.92,161.19,12.99,20190930-1247-FRANKFURT_2-01-61,Strecksprung
100.915,-11.28,125.68,17.0,-11.21,126.86,11.31,0110-MORITZ-01-135,Strecksprung
53.42,26.92,93.04,13.96,25.47,83.54,12.78,0110-MORITZ-01-135,Strecksprung
3.166,19.76,-30.08,12.76,22.08,-23.73,7.15,0110-MORITZ-01-135,Strecksprung
1.46,-23.96,29.2,2.0,-13.02,17.85,-1.25,0110-MORITZ-01-135,Strecksprung
1.007,1.56,0.6,4.8,0.35,11.05,11.56,0110-MORITZ-01-135,Strecksprung
0.761,3.68,8.16,38.16,4.65,12.67,37.03,0110-MORITZ-01-135,Strecksprung
1.369,22.96,28.52,59.08,17.63,21.85,47.15,0110-MORITZ-01-135,Strecksprung
1.276,-0.48,-29.52,12.24,-0.2,-29.24,12.87,0110-MORITZ-01-135,Strecksprung
0.742,-2.4,-33.68,-15.52,-3.12,-35.7,-11.85,0110-MORITZ-01-135,Strecksprung
0.777,-2.24,-49.36,-7.32,-3.21,-47.4,-7.91,0110-MORITZ-01-135,Strecksprung
0.684,-5.08,-38.0,-2.52,-5.34,-39.73,-1.9,0110-MORITZ-01-135,Strecksprung
0.664,-4.96,-35.52,3.96,-5.57,-36.28,4.16,0110-MORITZ-01-135,Strecksprung
0.777,-2.56,-34.96,5.72,-3.06,-35.46,5.84,0110-MORITZ-01-135,Strecksprung
